Смерти/д.н.,ср. кол-во рака в г.,ср. кол-во смертей в г.,ср. кол-во диагнозов/д.н.,медиан. доход,Население графства,% бедности,кол-во исслед./д.н. в округе,ср. возраст в округе,ср. возраст м. в округе,ср. возраст ж. в округе,ср. размер дом-ва,% женатых,% 18-24 без 11 классов,% 18-24 оконч. 11 классов,% 18-24 оконч. бакалавр,% >25 оконч. 11 классов,% >25 оконч. бакалавр,% >16 работают,% >16 не работают,% с частной мед. страховкой,% с гос. мед. страховкой,% раса белые,% раса черн.,% раса азиаты,% раса другие,отн. кол-ва детей к женщинам
176.9,47,19,477.8,50014,5773,11.1,0,47.8,47.2,48.2,2.15,59.8,21.2,20.4,4.4,42.3,10.4,62.3,2.6,73,37.7,97.6657,0.3237,0.3237,0,4.7575
163.2,141,54,445.9,61931,25658,8.8,233.8451945,41.4,40.2,42.2,2.51,61.8,21.1,35.3,6.1,36.4,16.3,65.1,4.7,80.5,29.9,97.7638,0.7015,0.2132,0.2519,6.1831
170.9,705,261,488.7,51331,133455,14.5,172.3427373,34.7,33.9,35.6,2.42,46,6.5,21.3,8.7,32.7,17.9,62.8,6.6,75.7,31.3,85.2192,9.155,1.6951,1.5072,5.5355
171,143,60,434.9,54186,26643,10.4,900.7994595,41.3,39.4,43,0.0237,54.1,17.5,28.5,8.4,34.8,17,62.9,4.7,78.7,31.5,97.1857,0.8901,0.322,0.1136,4.4731
129.8,133,44,430.9,62438,24722,7.6,242.6988108,38.6,37,40,2.45,57.4,8.2,16.1,5,33.4,20.3,64.7,3.9,86,26.3,96.7317,1.0962,0.7621,0.2445,3.9492
188.1,121,49,482.7,55781,21062,10.7,0,38.4,37.9,39.1,2.5,58.9,18.9,30,9.9,42.9,13.1,64.9,3.9,77.5,27.5,97.695,0.3762,0.4524,0.3715,7.2097
149.1,102,39,426.3,50719,20493,12.4,0,35.9,34.7,36.9,2.55,53.1,15.5,22.4,2.3,31,12.3,67.6,3.7,70.7,31.3,81.0016,2.8771,7.7486,5.4567,6.8728
156.6,95,37,444.5,52273,14915,9.9,0,43.5,41.7,45.1,2.37,63.6,11.5,43.7,6.4,40.8,11.1,,4,79.6,31.3,98.236,0.3942,0.4677,0,4.2037
181.5,80,33,528.1,49456,9818,13.7,407.4149521,46,43,48.7,2.19,55.8,19.9,30.8,5,37,13.1,56.9,4,74.3,40.6,96.1569,1.3516,0.2925,0.2118,6.8765
176.6,124,56,443.1,52367,20498,9.9,0,42.3,40.6,44.1,0.0236,57.1,15.1,33.6,7.6,40.6,15.2,66.5,3.3,80.6,31.5,97.0721,1.5221,0.0776,0.3345,4.3785
218.8,97,49,470.8,46159,13427,13.1,0,44.7,42.2,47.3,2.18,57.4,18.5,38.3,8.7,44.3,14.6,61.9,3.2,68.6,42.6,97.5202,0.4194,0.3826,0.3606,9.2988
147.9,119,38,500.8,61423,18340,7.9,0,42.1,41.3,43.6,2.37,60.1,12.5,32.8,9,37,15.5,67.2,3,81.4,31.3,97.2571,0.3918,0.615,0.2884,5
154.2,299,101,493.5,49569,43017,12,511.4257154,44.2,43,45.9,2.17,51.7,8.9,39.1,11.5,31.8,16,63.4,4.4,73.8,37,95.0415,1.2511,1.1315,0.5727,5.7515
135.4,83,29,438.1,52894,11574,9.6,777.6049767,46.6,44.5,48.5,2.14,55.2,21.4,41.2,4,35.6,14.4,62.6,3.7,78.5,33.6,97.3087,0.4556,0.1097,0.194,3.5054
161.9,81,31,467.7,50788,12097,9.8,247.9953708,44.1,42.7,45.2,2.27,60.7,17.8,32.4,10,43.2,11.2,63.6,3.8,75.7,34.8,98.0807,0.5472,0.5635,0.1878,8.3825
198.5,55,25,457.8,45413,9259,14.4,0,39.6,37.6,42.5,2.43,53.8,13,60,1.5,44.6,9.7,,5,67.2,37.3,96.0129,0.1401,0.4526,2.6616,7.2905
171.5,108,44,477.7,51514,16507,11.5,121.1607197,42.2,40.6,43.9,2.27,55.6,12.7,32.4,9.5,36.9,15.1,64.9,3.8,74.2,35.2,95.888,0.7136,0.1754,1.2094,4.9093
148.6,98,34,461.2,50370,17094,11.6,234.000234,38,37.4,38.9,2.64,56.4,24,30.1,8.3,35.8,10.6,62,4.8,67.8,36.4,91.5256,1.2115,0.313,3.5706,8.15
132.6,267,80,438.9,79173,80133,6.2,0,34.7,34.2,35,2.69,61.2,18,28,19.9,21.1,32.5,72.6,2.6,85.2,19.3,91.9911,1.1256,3.4062,1.2364,6.527
158.6,47,19,427.3,46750,8769,15.4,0,38,37.1,38.6,2.73,60.6,42.9,27.3,3.8,37.4,11.8,59.3,4.2,57.2,32,98.5129,0.2059,0.3089,0,8.783
154.1,102,38,451.7,55958,17403,8.9,57.46135724,43.1,42.3,43.5,2.48,57.8,13,32,7.5,44.1,9.9,68.2,3.6,80.1,29.8,98.2578,0.2228,0.337,0.04,5.8079
170.1,272,98,508.3,45292,40055,15.7,0,42.1,41.1,42.9,2.36,50.5,16.3,31.1,4.4,35.6,13.8,58.8,6.3,69.8,39.6,90.8899,5.4566,0.6267,0.3183,5.5987
156.1,139,46,528.4,56551,17111,7.4,0,48.7,46.4,50.4,2.14,63,17.4,22.6,8.9,29.6,19,,3.8,77.2,37.2,97.7368,0.3065,0.2299,0.1768,7.1524
160.2,61,25,426.9,47342,9769,11.3,0,41.5,40,42.7,2.23,53.1,20.8,21.7,3.2,34.6,12.1,61.9,4.6,69.2,34.3,96.5514,1.5025,0.1714,0.3832,4.3562
151.3,138,50,467.8,45522,20257,14.4,0,43.1,40.7,45.1,2.31,52.7,9.6,31.6,7.6,39.5,12.6,60.3,5.1,68.2,39.6,96.1193,1.0831,0.7625,0.1894,7.3785
165.4,113,41,494,48292,15960,12.7,0,43.6,42.1,44.9,2.28,55.4,21.7,26.3,8.6,35.5,14.1,62.6,3.5,69,39.3,94.7165,2.0249,0.7539,0.3614,6.7492
165.3,72,27,488.4,51045,10295,12.1,97.13453133,42.8,41.2,44.8,2.42,57.6,17.9,39.6,7.2,38.1,11.8,60,4.2,72.7,37.5,92.0965,1.0678,0.2288,5.2913,2.4113
181.2,51,20,487.2,54154,6906,11.7,0,46.4,44.8,47.4,2.36,59.4,16.6,43.5,5.2,36.4,15.6,60.4,3.7,70.9,39.1,96.8196,0.2955,0,0.8444,6.0046
186.9,70,28,506.1,49125,9027,13.2,2658.690595,45.1,43.1,47.3,2.3,61,18.8,34.6,10,35.7,14.1,61,5.6,75.1,38.7,97.9071,0.0545,0.436,0,9.9713
151.8,84,29,492.9,61215,12435,6.7,0,42.2,40.5,44,2.37,62.7,9,24.5,14.7,35.3,17.4,,3.9,82.9,30.3,98.2993,0.4111,0.3788,0.1048,6.0359
168.5,70,29,437.9,49507,10676,12.4,655.6762833,45.9,44.4,46.7,2.34,59.6,7,30.7,10.4,39.3,13.7,61.7,5.4,74.4,35.9,97.7188,0.7542,0.149,0.4562,4.9659
153.2,94,36,449.8,53691,15190,9.4,0,42.4,41.7,43.5,2.36,59.2,10.5,35,14.1,33.2,14.5,61.3,3.8,71.8,36.5,93.6524,0.6668,2.2357,2.3338,2.2581
171.3,78,30,492.1,57682,10974,8.4,0,44,43.1,45.7,2.33,60.3,17,29.7,10.4,36.4,13.2,63.7,1.5,79.4,33.2,97.088,0.6491,0.3065,0.4057,6.2745
169.8,122,49,487.9,53277,17367,11.7,115.1609374,44.7,42.1,46.9,2.37,55.2,12,32.9,12.5,34.9,13.1,58.8,4.9,78.1,31.3,95.7799,1.0234,0.9602,0.9832,4.7323
178.1,95,38,477.6,52824,14265,11,0,43.8,42.6,45,2.37,55.9,20.3,28.7,7.5,38.1,13.3,63.2,3.6,72.1,34.2,97.636,0.0553,0.2696,0.235,4.0953
183.1,122,49,484.9,50347,19950,13.3,0,40.7,38.9,42.5,2.43,52.1,21,26.6,7.3,37.3,14.6,56.1,5.1,71.8,38.1,91.9871,2.3805,2.1763,1.1902,5.7971
165.8,60,24,465.5,49837,9410,12.1,0,42.2,41.7,42.5,2.39,56.9,20.9,26.2,3.5,44,7.9,63.5,3.4,74.4,36.1,98.2515,0.3265,0.2212,0.1053,6.7485
129.4,60,21,408.5,49696,9555,10.1,0,43.7,42.3,44.7,2.28,58.1,11.6,26.3,10.2,37.1,13.5,60.6,4.8,75.8,36.5,97.9636,0.1344,0.2378,0.2067,5.3863
159.8,57,19,548.4,53905,7028,10.9,0,45.1,43.5,47.4,2.24,62.8,12.1,32.8,4.8,40.1,15.2,63.5,3.7,75,35.5,97.7655,0.5515,0.3394,0.2828,9.2934
163.4,99,38,463.3,58234,16401,7.5,0,508.8,41.6,43.2,2.34,61.5,15.9,47.8,4.3,38.4,13.2,67.6,1.8,81,31.1,97.9564,0.8382,0.1897,0.1407,5.6131
191.7,146,54,543.5,50299,19444,11.3,1388.603168,44.5,43.2,46.2,2.29,57.5,15.1,35.2,6,44.8,10.4,61.2,4.4,74.1,35.2,97.3023,0.1788,0.4036,0.0511,6.3492
181.7,221,91,466.2,52750,36827,11.2,27.15399028,42.2,40.1,44.7,2.41,54,16.3,37.8,7.3,39.7,14.5,58.3,5.4,76.1,34,96.1662,1.4758,0.5745,0.1389,6.9961
163,90,37,423.6,41094,17555,16.9,56.96382797,42.5,38.8,45.3,2.24,47.5,6.7,16.9,29.6,30.4,17.7,53.2,6.4,66.1,36.2,85.1369,1.4205,7.9224,2.1192,2.5342
156.2,511,163,473.8,59946,144251,15.9,1310.21622,29.8,29.5,30.4,2.37,43.4,4.1,18.2,15,17.1,27.4,69,3.5,81.2,20.9,84.1468,5.4477,5.9719,1.9486,4.1179
154,123,46,445.7,51558,20466,11.6,0,43.2,42.4,44.3,2.34,57,18.5,23.8,8,39.6,12.4,59.2,5,77.7,33.8,95.6128,1.9163,0.4086,0.3648,5.727
169.3,67,28,466.9,48316,10163,13.5,0,44.3,43.1,45.5,2.33,56.9,14.2,25.8,7.4,42.8,11.2,60.1,5.1,69.7,41.1,97.8136,0,0.2138,0.4761,5.7692
138.4,111,36,480,52967,15165,9.6,0,46.1,45.1,47.3,2.23,60,13.6,22.4,11.7,38,14.7,63.5,2.1,80,32.9,97.6767,0.373,0.3927,0.3534,6.9303
181.3,241,92,509.2,44719,35089,17.7,0,42.9,41.1,44.8,2.4,49.8,15.4,39.8,6.1,41.7,11.3,57.2,8.7,68.1,38.8,93.3953,3.0196,0.5089,0.5768,6.3897
169.4,1082,396,474.8,62700,219916,9.3,386.5112134,37.1,36,38,2.42,51.2,9.9,23.8,10.6,27.2,21.6,67,4.8,78.1,28.8,89.7466,4.2222,1.9862,0.9389,5.7538
148,66,21,475.6,50924,11185,11.1,0,40.8,40.3,41.4,2.58,56.4,20.2,31.6,6.2,37.3,9.7,63.1,4.8,75,32.7,92.2545,0.9138,2.5375,3.3715,7.113
184.7,56,27,425.1,42582,8682,16,0,45.4,43.6,47.1,2.34,55.4,12.8,36.6,5.1,44.9,12,58.5,5.8,71.2,40.8,97.7551,0.2291,0.3436,0,4.7506
151.7,70,24,478.3,61750,11745,7.9,0,38.4,36.6,40.5,2.57,65.2,13.4,33.7,10.9,37.1,15.4,68.2,2.4,78.7,28.3,97.33,0.0597,0.3241,0.8189,6.5863
172.2,79,33,434.2,62230,15753,8.8,0,40.5,39.4,41.5,2.48,60.7,20.2,18.5,17.2,38.9,16.4,64.4,5.7,80.4,28.1,97.4303,0.5817,1.0036,0.2046,4.9306
190.3,133,56,482.1,48584,22324,12.9,44.79483963,39.8,38.6,40.9,2.41,53.3,7,30.8,7,37.6,16.6,61.8,8,74.7,34.2,95.4635,1.3842,1.1341,0.4376,3.8807
176.6,191,76,471,57046,33294,11.1,0,39.2,38.1,40.1,2.43,57.7,8.2,25.2,7,35.7,17.5,65.3,4,81.2,30.4,96.2915,0.5474,1.0467,0.4181,4.5044
180.9,239,99,467,50244,40746,13,908.0645953,38.9,37.5,40.8,2.6,55.3,24.7,30.4,5.9,32.9,13.9,60.9,6.3,70.8,37.4,84.4075,1.7309,2.888,8.9498,7.6941
194.9,88,34,486,59399,14844,9.7,0,41.9,41.3,43.2,2.63,58.6,22.3,29.1,1.1,35.9,16,60.4,3.8,76.7,32.1,97.5373,0.72,0.0807,0.0404,3.2935
129.6,67,25,426.7,52616,10832,11.5,0,43.7,42.1,45.9,2.41,59.7,18.1,41.3,6.6,44.2,11.3,62.9,3.2,73.4,34.8,98.8013,0.1394,0.0929,0.1115,6.0736
165,71,27,483.2,43178,8979,14.3,0,47,45.2,49.8,2.19,55.3,17.7,33.7,1.9,43.3,10.1,56,5.5,70.3,41.7,97.1171,0.5392,0.121,0.066,4.3719
207.4,53,24,490.5,44705,7973,11.7,0,43.2,40.1,44.5,2.37,54.6,18.6,29.9,13.8,44.8,13,,6.2,71.8,30.2,94.8138,0.1375,0.5624,1.6121,3.9482
148.3,74,26,482.3,42046,10234,19.3,0,45.1,43.5,47.7,2.22,55.6,21.4,36.9,2.1,37.6,10.9,55.2,9.6,67.9,43.4,95.8624,0,0.0287,1.2996,6.8119
170.9,232,84,480.5,54441,43011,11.4,0,38.2,37.1,39.2,2.59,56.3,15.7,32.9,8,35,13.5,63.9,4.6,74.9,33.6,91.9395,1.5473,1.242,2.3955,6.5725
176.1,97,41,459.7,55968,13984,10.3,0,44,40.5,47,2.28,61.6,20.7,21.4,2.4,37.7,13.7,64.6,2.8,73.8,35.1,94.7985,0.5109,0.8445,2.3914,7.0566
162,39,17,432.9,51423,6154,9.1,0,44.5,42.7,46.5,2.28,61.6,27.1,40.1,6.3,37.6,13.6,66.1,3.3,74.2,34.1,95.5241,0.4025,0.2576,2.6566,6.1655
179.7,116,44,506.9,46927,15527,14.6,0,43.5,41.3,46,2.34,53.2,22.8,40.5,6.3,34.7,13.8,55.6,5.1,69,39,94.5338,2.1137,1.1686,0.1724,8.2963
152.6,60,25,442.3,50600,9133,11.5,0,42.9,40.8,45.8,2.23,58.1,8.6,23.4,10.1,30.9,15.1,62.6,2.9,76.3,34.9,97.1981,1.2598,0.4018,0.1086,4.6901
156,146,53,467.9,62745,24800,7.6,0,41.8,40.3,43,2.45,60,17.7,29,7.5,35.6,16,67,3.4,78.8,30.3,96.8092,0.507,0.342,0.9536,5.5739
142.7,48,18,443.6,49625,7008,12.9,0,47.3,46.2,47.8,2.18,56.4,7.8,40.6,10.8,38.9,14.2,60.6,4.9,73.7,37.3,96.5062,1.361,0.1263,0.5753,6.1776
188.7,2000,778,481.1,61028,467711,13.1,1231.529727,35,34.1,35.9,2.5,51.1,12.6,29.1,14.2,25.3,25.1,68.3,5.8,74.6,29.9,85.3841,6.2429,3.9426,1.5063,6.4631
183.8,530,204,492.9,51947,93671,12.3,213.5132538,39.2,37.7,40.6,2.48,50.6,13.2,33.3,8.4,34.9,14.7,63.3,5,70.5,33.7,94.4482,1.2874,0.6158,1.2445,5.4945
154.2,100,43,390.3,52791,18550,12.1,0,40.9,39.2,42.2,2.31,49.8,7,18.5,2.8,36.8,15.3,,4.8,77.1,32.5,94.8303,1.1601,2.0904,0.2513,4.271
172.1,37,17,433.2,42854,5068,16.6,0,46.3,42.2,49,2.4,58.6,20.2,29.8,4.2,35.5,14.4,53.9,4.8,70.4,39.8,97.787,0.2371,0.4742,0.0198,8.4402
174.1,73,32,456.2,49513,10021,10.8,0,46.1,44.8,48.1,2.25,59.3,16.2,27.3,11,39.3,14.9,63.3,4,77.6,33.3,97.9012,0.7029,0,0.3168,8.1167
185.1,913,346,501.4,54959,172126,12.2,360.2012479,37.6,36.6,38.6,2.46,50.7,12.4,30.6,10,28.3,20.4,62.3,5.4,75.2,29.9,86.1889,7.715,2.2895,0.9877,5.0832
138.5,80,29,446.8,55637,11927,9.6,0,46.6,45.3,47.4,2.32,57.3,14.4,26.3,5.6,36.8,16.1,63.9,2.9,75.2,35.4,96.0724,0.1918,0.4837,1.6928,3.8113
140.7,160,57,427.3,60205,34937,7.5,28.62294988,33.3,32.6,34.1,2.73,60.4,8.9,21.3,9.1,31.9,17.9,72.2,1.8,80.2,24.6,92.5382,0.4347,0.736,4.9291,5.6257
152.5,340,117,451.8,52128,96021,19.5,1614.23022,25.9,24.8,27.7,2.35,41.5,1.6,11.4,12.1,18.8,27.3,63.9,5.5,86.7,18.7,88.0196,2.4299,6.5523,0.3387,3.5658
181.3,46,19,475.5,46501,6205,13.1,0,43.7,40.9,45.9,2.23,62.3,14.7,41.3,4.9,42,10.3,62.4,4.4,68.3,37.6,95.8796,0.2092,0.6116,1.7383,5.0243
173.4,73,31,431.6,44905,12469,12.8,882.1878258,40.6,39.7,41.5,2.3,51.2,21.8,26.1,6,40,11.5,64.1,5.4,71.4,37.4,97.3678,0.9861,0.334,0.008,7.6811
182.7,231,86,516.3,42414,35173,16.7,398.0325818,39.8,38.1,41.5,2.38,52.2,22.8,21,5.7,36.7,11.1,57.1,8,67.9,38.9,92.0119,2.0614,0.8976,3.5084,6.1803
170.6,254,89,495.8,67342,48626,6.3,226.2164274,38.4,37.2,39.5,2.54,56.6,9.3,25.1,7.8,32.6,20.4,68,4.8,81.4,27.4,96.8281,0.5027,0.3849,0.3723,4.4284
160.4,135,49,479.6,56243,22247,10.2,1842.945116,41.5,40.4,42.8,2.43,58.3,16.5,39.6,9.8,35.8,14,65.9,4.2,71.7,33.7,95.8895,0.8312,0.4587,1.1582,9.4535
150.9,38,16,398.5,42006,6385,16.7,0,44.5,43.4,45,2.41,55.5,40.9,26.4,6.4,43.5,9.9,55.6,4.3,65.1,41.9,97.666,0.4699,0.0627,0,7.0161
169.2,234,86,486.3,43490,37071,16.3,539.5052737,39.7,36.4,42.8,2.27,45.5,10.9,24.6,4.7,32.5,13.5,55.6,8.4,68.9,39,91.9239,4.3008,1.0886,0.74,6.4381
163.3,67,27,446.6,50703,10609,10.4,0,43.2,41.8,45.5,2.2,59.9,6.4,23.3,10.7,35.1,15.8,60.8,6.2,82,32.2,95.798,0.9233,1.0835,0.358,10.5695
138.4,113,40,431.4,55984,20709,9.4,48.28818388,40.6,39.9,41.9,2.24,54.4,3.8,12.5,4.7,35.1,16.4,70.3,3,83.5,25.6,96.6721,0.9481,1.2402,0.2969,3.5077
176.4,509,197,469.7,45641,102782,15.2,2062.617968,35.4,34.2,36.5,2.58,48.7,14.4,33.3,4.6,34.2,14.4,65.7,5.2,67.5,33.5,85.2151,2.7914,2.6148,4.6113,6.3606
136.5,49,16,470,50286,7569,11,0,44.8,44.8,44.8,2.35,56.4,13.8,34.4,7.6,36.6,11.7,61.9,4.7,74,35.3,97.1969,0.9652,0.1587,0.2512,8.3387
159.3,87,34,453.2,50108,12773,12,0,44.6,43.4,45.9,2.31,57,18.2,35.9,9.9,37.5,12.1,58.8,5.7,71.9,38.3,94.6738,0.3788,0.5025,2.837,6.4869
136.2,1962.667684,7,453.5494221,50886,2640,10.4,0,47.4,45.3,50.1,2.25,69.1,8.7,29.1,6.3,37.7,17.4,62.6,1.9,74.7,32.3,96.8921,0.9872,0.5484,0.1463,8.952
197.8,1962.667684,13,453.5494221,60279,7733,10.9,0,32.8,32.4,33.2,2.86,62.5,37.8,33,0,28.9,14,64.7,7.3,62.3,25.6,75.4222,0.0128,0,22.1469,5.3751
150.7,1962.667684,9,453.5494221,58543,6133,8.3,0,36.1,36.8,35,2.78,64.8,33.5,25.6,4.5,25.6,14.3,70.8,2.9,76.1,22.1,98.3512,0,0.1319,1.0717,6.1993
156.9,1962.667684,3,453.5494221,52795,1330,10.8,0,49.4,48.7,49.9,2.46,66.6,4.8,0,40.3,30.3,20.4,60.5,2.1,81.9,28.8,87.1732,0.8987,0.3268,8.9052,5.6872
155.4,1962.667684,17,453.5494221,39732,6244,16.9,0,48,48,48,2.23,55.3,8.6,39.1,6.6,40.1,11.3,56.2,3.5,69.4,38,95.3699,0.1564,0.0469,0.8603,5.4577
194.7,1962.667684,19,453.5494221,50525,5817,12.9,171.9099192,43,39.7,46.7,2.34,56.6,17.1,44.7,6.3,36.6,13,59.7,3.7,71.7,32.8,96.2123,0.1536,0.0512,0.5801,7.6012
162.2,1962.667684,79,453.5494221,55074,35073,12.8,1881.789411,38.6,37.7,39.3,2.47,58.4,13,23.7,11.5,29.6,17.3,60.8,4.4,75.1,29.9,92.9152,1.6363,0.6804,1.8057,5.8585
122.6,1962.667684,5,453.5494221,59596,4064,10.7,0,36.1,32.6,38.5,2.93,58.6,38,36.7,4,20.9,11.2,68.2,3.9,62.4,27.5,85.7627,0,0.9443,10.1211,5.9653
127.6,1962.667684,4,453.5494221,52394,1893,8.8,0,47.8,46.3,49.3,2.36,65.5,24.5,34.3,2,25.9,18.4,65,2.5,79.2,28.2,96.0289,0,2.3724,0,9.3939
178.7,1962.667684,31,453.5494221,53796,13338,10.3,0,40.8,39.4,42.5,2.51,61.4,23.4,30.5,7.8,40.6,12.5,62.8,4.4,77.7,31,87.6194,0.6716,0.4851,0.0448,5.897
173,1962.667684,42,453.5494221,56927,18930,9.4,0,43.5,42.6,44.6,2.47,61.7,16,37.6,4.7,40.7,12.7,62,6.9,77.6,29.1,95.6874,0.4762,0.0212,0.1323,5.1557
146.8,1962.667684,796,453.5494221,76104,580159,6.6,449.8766717,36.8,35.6,38.1,2.56,56.8,11.5,25,17.1,15.2,33.6,69.2,4.5,84,18.9,86.9121,4.4888,4.4602,0.9183,5.5294
209.6,1962.667684,9,453.5494221,53484,3956,12.2,0,34.8,30.6,39.3,2.81,63,30,16.6,3.5,23.4,10.5,66.3,1.8,77.5,21.4,83.6538,0.8603,0.2783,10.9565,5.2311
129.4,1962.667684,16,453.5494221,53378,7687,11.2,8585.924288,45.2,41.7,46.8,2.54,56.6,10.3,45.8,2.3,34.8,14.8,56.5,5.7,71.5,32,97.1887,0.1412,0,0.077,7.6768
141.4,1962.667684,6,453.5494221,46318,2564,12.8,0,41.7,41.3,42.4,2.21,60,8.5,15,6.5,26.9,17.9,,4,73.1,34.5,95.4653,0.8675,0.6703,0.5126,3.7838
148.6,1962.667684,4,453.5494221,53739,1670,10.9,0,535.2,44.7,44.4,2.07,55.9,25.2,31.1,3,29.7,15.5,67.9,2.4,78.2,29.2,98.3274,0.3584,0,0,10.0295
166.5,1962.667684,126,453.5494221,65549,79315,10.9,0,37.3,36.4,38.6,2.7,53.1,13.3,30.5,8.1,30.9,16.4,54.7,5.9,80.2,26.7,83.8854,8.4626,1.5749,1.1275,5.1745
164.5,1962.667684,9,453.5494221,44896,3105,12.7,0,46.2,43.8,47.9,2.31,56.3,11.2,44.1,1.8,32.3,15.6,59.5,6.5,70.8,33,97.5269,0.8244,0.3488,0,7.1804
219.4,1962.667684,31,453.5494221,44520,9536,14.8,0,43.7,44.3,42.9,2.26,61.7,20.6,34.7,0.9,37.2,10.5,52.1,8.3,75,32.3,96.3056,0.6927,0.3463,0.1574,7.6038
129.1,1962.667684,6,453.5494221,49852,2825,9.7,0,42.2,40.6,45.7,2.21,59.7,27.5,21.3,0.9,35.5,11.7,63,3.9,79.1,33.5,95.4171,0,0.179,0.4654,7.5581
182.9,1962.667684,65,453.5494221,43038,33339,18,449.923513,32.5,32.5,32.4,2.43,46,9.3,23.6,7.7,33.4,16.6,62.7,7.2,67.3,29.5,88.1866,2.5372,2.0411,3.0572,7.9991
161.2,1962.667684,70,453.5494221,57878,28941,8.8,1209.356968,42,40.2,43.6,2.37,58.9,15.9,21.6,11.3,29.1,19.3,66,3.1,80.7,27.8,94.7833,1.0461,0.6803,0.9948,6.0786
143.8,1962.667684,30,453.5494221,47723,12103,11.9,247.8724283,45,43.7,46,2.4,57.9,15.2,20.9,8.1,36.4,14.7,58.4,5,74.9,33.4,95.7689,0.8137,0.1871,0.1709,6.0216
150.8,1962.667684,25,453.5494221,47901,9936,11.1,0,45,43.3,46.3,2.27,61.4,16.9,28.9,6.9,44.8,11.8,62.1,3,77.7,32.6,97.0815,0.2899,0.2899,0.3898,6.3527
176.2,1962.667684,11,453.5494221,53903,4330,11.7,0,39.8,36.5,42.4,2.51,61.7,28.1,44.5,1.2,31.1,16.4,,2.8,76.1,27.2,88.3185,0.8442,1.0495,8.1679,12.2197
150.2,1962.667684,56,453.5494221,63924,32553,9.5,0,40.4,39.5,41.4,2.55,59.3,14.5,36.6,5.3,32.5,16.5,63.4,5.6,81.1,24.5,95.5825,1.3369,0.3793,0.2172,6.6831
151.3,1962.667684,16,453.5494221,48645,6282,11.2,0,44.4,40.8,48,2.25,59.8,16.5,40.7,4.2,34,18,60.5,2.6,79.5,27.6,97.8717,0.3812,0.6989,0.1429,2.5501
208.4,1962.667684,99,453.5494221,42221,33314,18,1921.114246,39.4,37,41.9,2.47,50.3,17.3,31.6,3.9,32.1,11.2,53.8,8.7,64.2,36.8,85.464,5.1164,0.9186,0.4359,6.4111
193.4,1962.667684,20,453.5494221,44774,5645,12.5,0,47.6,46.6,49.5,2.36,62,20.8,36.6,6.3,35.7,10,59.9,3.2,75.9,34.6,96.2957,0.1565,0.4,0.713,5.6118
165.4,1962.667684,7,453.5494221,55378,3007,11.1,0,41.6,38.3,46.3,2.53,54.2,21.1,51,6.2,32.5,10.6,57.1,5.8,70.9,30.1,85.8339,0.9337,0.161,7.244,3.2915
147.7,1962.667684,25,453.5494221,54149,10227,9.9,586.6823115,41.6,39.7,43.6,2.32,61.9,13.6,42,10,41.9,16.8,67.1,1.7,80.4,28,97.1946,0.8859,0.2461,0.1477,5.5584
183.5,1962.667684,42,453.5494221,41527,16346,17.7,4098.862107,40,39.7,40.6,2.47,53.1,9.4,20.7,4.7,33.6,12.1,60.9,4.7,67.8,35,94.6051,1.1691,0.1948,0.4445,8.2761
128.7,1962.667684,7,453.5494221,51923,3005,10,0,49.2,46,51.9,2.18,62.5,31.1,27.4,17.8,35.9,15.5,60.9,2.7,77.2,35.5,96.8801,0.52,0,1.5275,9.7252
109.9,1962.667684,10,453.5494221,44846,5550,13.5,0,44,42.1,48.5,2.24,49.6,25.1,18.9,14.7,34.6,15.2,57,1.7,72.8,32.9,92.2004,2.4508,0.3578,1.2165,9.7768
181.3,1962.667684,39,453.5494221,52749,15847,12.9,0,42.6,42.2,42.9,2.44,57.4,15.7,33.8,8.8,40.5,12.8,57.3,8.2,71.9,35.2,96.3184,0.1493,0.1679,0.1679,4.4478
166.2,1962.667684,12,453.5494221,38848,3683,12.9,0,48.5,46.5,49.7,2.08,59.6,18,22,15.6,36.3,15.1,61.1,4,74.6,34.8,97.6732,0.3966,1.0576,0.1058,4.1411
151.2,1962.667684,13,453.5494221,52744,5975,10.4,0,42.2,39.5,45.4,2.39,63.8,17.1,36.5,7.3,32.9,15.2,63.2,5.3,77.8,27.9,96.8089,0.2976,0,0.4134,1.4706
182.5,1962.667684,18,453.5494221,47351,6838,13.9,146.2415911,43.1,41.5,48.2,2.32,46.2,26,23.2,1.2,28,12.7,51.6,1.9,72.8,32.8,90.6526,4.8473,0,1.6206,1.1217
171.1,1962.667684,16,453.5494221,45856,5428,11.4,0,44.7,44.2,45.5,2.29,60.5,33.2,13.9,7.6,35.3,15.5,63.1,4.3,75.8,33.4,96.8551,0.3817,0.1818,0.1636,9.3422
153.9,1962.667684,36,453.5494221,65373,23298,10,0,34.7,34.7,34.6,2.72,62.3,9.2,35,6.5,31.2,21.2,64.8,3.7,80.4,23.8,94.0862,1.2906,0.9017,0.6851,8.0959
177.9,1962.667684,25,453.5494221,54701,9691,10.3,6810.442679,39.1,35,42.6,2.39,55.5,11.9,37.3,3.9,26.5,18,59.9,5.6,71.8,32.1,95.0303,0.7188,0.0103,0.6058,5.2785
177.8,1962.667684,9,453.5494221,44932,2506,11.8,0,50.9,48.7,52.4,2.07,61.7,29.1,28.5,2.5,30.8,18.6,58.2,2.3,77.6,35.1,97.4067,0.3536,0.1179,0.4715,10.2871
